Fase,FechaMedicion,Voltaje,Corriente,Potencia,FactorPotencia,Frecuencia,EnergiaActiva
1,2026-02-16 06:40:00,121.79,2.65,275.94,0.844,59.98,6.314
1,2026-02-16 06:50:00,122.23,2.064,208.2,0.828,59.96,6.35
1,2026-02-16 07:00:00,121.73,2.557,255.36,0.822,59.98,6.393
1,2026-02-16 07:10:00,122.33,1.764,180.04,0.835,59.97,6.426
1,2026-02-16 07:20:00,120.84,3.22,328.88,0.842,59.92,6.487
1,2026-02-16 07:30:00,120.41,2.116,211.14,0.831,59.95,6.525
1,2026-02-16 07:40:00,119.73,2.655,266.65,0.838,59.96,6.568
1,2026-02-16 07:50:00,119.38,2.875,302.34,0.884,59.93,6.611
1,2026-02-16 08:00:00,119.04,4.187,450.05,0.901,59.95,6.678
1,2026-02-16 08:10:00,119.98,2.235,227.72,0.852,59.97,6.722
1,2026-02-16 08:20:00,120.25,2.581,269.27,0.856,59.94,6.779
1,2026-02-16 08:30:00,119.16,2.603,258.16,0.834,59.94,6.824
1,2026-02-16 08:40:00,119.24,1.931,191.65,0.836,59.97,6.858
1,2026-02-16 08:50:00,117.32,3.644,381.17,0.87,59.96,6.928
1,2026-02-16 09:00:00,115.83,8.029,913.38,0.985,59.99,7.083
1,2026-02-16 09:10:00,117.87,4.16,461.58,0.912,59.97,7.145
1,2026-02-16 09:20:00,114.62,13.244,1467.54,0.937,59.97,7.358
1,2026-02-16 09:30:00,119.12,4.176,426.48,0.846,59.91,7.439
1,2026-02-16 09:40:00,119.88,6.257,670.88,0.884,59.94,7.551
1,2026-02-16 09:50:00,119.69,5.878,662.47,0.942,59.96,7.648
1,2026-02-16 10:00:00,118.85,3.754,389.2,0.859,59.96,7.719
1,2026-02-16 10:10:00,119.76,2.961,309.94,0.852,59.96,7.771
1,2026-02-16 10:20:00,119.83,2.718,269.48,0.828,59.93,7.82
1,2026-02-16 10:30:00,121.61,2.014,203.67,0.834,59.99,7.856
1,2026-02-16 10:40:00,120.033,3.696,381.533,0.849,59.956,7.918
1,2026-02-16 10:50:00,120.73,3.451,381.2,0.883,59.96,7.971
1,2026-02-16 11:00:00,122.26,4.584,490.44,0.856,59.96,8.035
1,2026-02-16 11:10:00,122.5,5.596,632.13,0.911,59.96,8.141
1,2026-02-16 11:20:00,121.29,3.398,355.09,0.846,59.94,8.198
1,2026-02-16 11:30:00,120.64,4.848,548.92,0.922,59.95,8.296
1,2026-02-16 11:40:00,120.62,4.644,488.02,0.857,59.98,8.361
1,2026-02-16 11:50:00,120.71,3.867,430.62,0.893,59.96,8.44
1,2026-02-16 12:00:00,120.91,6.035,652.1,0.882,59.95,8.543
1,2026-02-16 12:10:00,122.33,2.404,263.14,0.864,59.97,8.588
1,2026-02-16 12:20:00,121.52,3.658,367.08,0.821,60.0,8.651
1,2026-02-16 12:30:00,121.28,2.528,271.93,0.862,59.94,8.693
1,2026-02-16 12:40:00,118.03,3.574,366.01,0.852,59.97,8.753
1,2026-02-16 12:50:00,117.5,3.145,323.02,0.864,59.98,8.81
1,2026-02-16 13:00:00,115.94,4.711,513.63,0.914,59.94,8.879
1,2026-02-16 13:10:00,119.68,7.358,838.98,0.925,59.96,9.035
1,2026-02-16 13:20:00,120.61,2.696,285.95,0.882,59.97,9.085
1,2026-02-16 13:30:00,121.12,3.006,317.87,0.872,59.97,9.136
1,2026-02-16 13:40:00,121.61,4.19,469.48,0.909,59.98,9.211
1,2026-02-16 13:50:00,121.59,4.472,491.41,0.894,59.98,9.297
1,2026-02-16 14:00:00,121.55,3.43,375.75,0.892,59.94,9.354
1,2026-02-16 14:10:00,121.59,3.406,357.03,0.845,59.98,9.419
1,2026-02-16 14:20:00,123.0,2.204,223.21,0.828,59.95,9.458
1,2026-02-16 14:30:00,122.66,2.571,259.14,0.824,59.97,9.501
1,2026-02-16 14:40:00,122.53,2.236,226.73,0.833,59.97,9.54
1,2026-02-16 14:50:00,122.89,2.776,292.18,0.845,59.98,9.589
1,2026-02-16 15:00:00,122.39,5.087,609.61,0.974,59.95,9.689
1,2026-02-16 15:10:00,123.05,2.166,234.36,0.864,59.98,9.734
1,2026-02-16 15:20:00,121.9,4.067,444.333,0.882,59.978,9.797
1,2026-02-16 15:30:00,122.667,3.266,335.267,0.838,59.944,9.86
1,2026-02-16 15:40:00,119.85,3.267,330.45,0.845,59.98,9.916
1,2026-02-16 15:50:00,118.81,3.162,333.75,0.874,59.97,9.968
1,2026-02-16 16:00:00,119.54,2.637,267.14,0.849,59.95,10.013
1,2026-02-16 16:10:00,119.09,3.367,347.18,0.854,59.96,10.078
1,2026-02-16 16:20:00,120.87,3.735,404.32,0.872,59.97,10.141
1,2026-02-16 16:30:00,121.02,3.347,350.11,0.848,59.97,10.212
1,2026-02-16 16:40:00,120.09,3.8,403.37,0.865,59.97,10.283
1,2026-02-16 16:50:00,121.38,3.025,315.22,0.85,59.96,10.343
1,2026-02-16 17:00:00,122.0,2.944,312.14,0.87,59.97,10.394
